======== arm64-v8a ========
00000000000dca88 T WebRtcIsac_EncodeReceiveBw
00000000000d7740 T WebRtcIsac_EncodeSpec
00000000000d4910 T WebRtcIsac_EncodeStoredDataLb
00000000000d4eb0 T WebRtcIsac_EncodeStoredDataUb
00000000000d4110 T WebRtcIsac_EncodeUb12
00000000000d2fcc T WebRtcIsac_EncodeUb16
00000000000e27e4 T WebRtcIsac_EncoderInit
00000000000d17c4 T WebRtcIsac_EstimateBandwidth
00000000000dd278 T WebRtcIsac_Fftns
00000000000e1934 T WebRtcIsac_FilterAndCombineFloat
00000000000e27b4 T WebRtcIsac_Free
00000000000e7964 T WebRtcIsac_GetBandwidthInfo
00000000000d0d04 T WebRtcIsac_GetCrc
00000000000e6554 T WebRtcIsac_GetDownLinkBwIndex
00000000000d00a8 T WebRtcIsac_GetDownlinkBandwidth
00000000000cfc38 T WebRtcIsac_GetDownlinkBwJitIndexImpl
00000000000d0014 T WebRtcIsac_GetDownlinkMaxDelay
00000000000e69d0 T WebRtcIsac_GetErrorCode
00000000000e9198 T WebRtcIsac_GetLpcCoefLb
00000000000e9bcc T WebRtcIsac_GetLpcCoefUb
00000000000ea014 T WebRtcIsac_GetLpcGain
00000000000d045c T WebRtcIsac_GetMinBytes
00000000000e3ec8 T WebRtcIsac_GetNewBitStream
00000000000e6954 T WebRtcIsac_GetNewFrameLen
00000000000d09b4 T WebRtcIsac_GetNewFrameLength
00000000000e6cac T WebRtcIsac_GetRedPayload
00000000000d5234 T WebRtcIsac_GetRedPayloadUb
00000000000d0ae4 T WebRtcIsac_GetSnr
00000000000d019c T WebRtcIsac_GetUplinkBandwidth
00000000000e43b0 T WebRtcIsac_GetUplinkBw
00000000000d02b4 T WebRtcIsac_GetUplinkMaxDelay
00000000000e8b80 T WebRtcIsac_GetVars
00000000000e8ee4 T WebRtcIsac_GetVarsUB
00000000000e0f34 T WebRtcIsac_Highpass
00000000000cea28 T WebRtcIsac_InitBandwidthEstimator
00000000000e1c50 T WebRtcIsac_InitMasking
00000000000e23a8 T WebRtcIsac_InitPitchAnalysis
00000000000e210c T WebRtcIsac_InitPitchFilter
00000000000e1ff8 T WebRtcIsac_InitPostFilterbank
00000000000e1e00 T WebRtcIsac_InitPreFilterbank
00000000000d0974 T WebRtcIsac_InitRateModel
00000000000eded0 T WebRtcIsac_InitTransform
00000000000e21d0 T WebRtcIsac_InitWeightingFilter
00000000000ea314 T WebRtcIsac_InitializePitch
00000000000d9080 T WebRtcIsac_Lar2Poly
00000000000d91f0 T WebRtcIsac_Lar2PolyInterpolUB
00000000000d8c94 T WebRtcIsac_Lar2Rc
00000000000e8890 T WebRtcIsac_LevDurb
00000000000e8318 T WebRtcIsac_NormLatticeFilterAr
00000000000e7b9c T WebRtcIsac_NormLatticeFilterMa
00000000000ec2ec T WebRtcIsac_PitchAnalysis
00000000000ed81c T WebRtcIsac_PitchfilterPost
00000000000ed028 T WebRtcIsac_PitchfilterPre
00000000000ed7c8 T WebRtcIsac_PitchfilterPre_gains
00000000000ed774 T WebRtcIsac_PitchfilterPre_la
00000000000d8d34 T WebRtcIsac_Poly2Lar
00000000000d8eb8 T WebRtcIsac_Poly2LarUB
00000000000d8a0c T WebRtcIsac_Poly2Rc
00000000000d61d0 T WebRtcIsac_QuantizeLpcGain
00000000000d58a0 T WebRtcIsac_QuantizeUncorrLar
00000000000d19ac T WebRtcIsac_RateAllocation
00000000000d8bec T WebRtcIsac_Rc2Lar
00000000000d8860 T WebRtcIsac_Rc2Poly
00000000000e66f4 T WebRtcIsac_ReadBwIndex
00000000000e6818 T WebRtcIsac_ReadFrameLen
00000000000d5420 T WebRtcIsac_RemoveLarMean
00000000000d1ee8 T WebRtcIsac_ResetBitstream
00000000000e79fc T WebRtcIsac_SetBandwidthInfo
00000000000e76fc T WebRtcIsac_SetDecSampRate
00000000000e70c0 T WebRtcIsac_SetEncSampRate
00000000000e7a80 T WebRtcIsac_SetEncSampRateInDecoder
00000000000e6268 T WebRtcIsac_SetInitialBweBottleneck
00000000000e69f4 T WebRtcIsac_SetMaxPayloadSize
00000000000e6b40 T WebRtcIsac_SetMaxRate
00000000000ee360 T WebRtcIsac_Spec2time
00000000000e103c T WebRtcIsac_SplitAndFilterFloat
00000000000db87c T WebRtcIsac_StoreLpcGainUb
00000000000ee03c T WebRtcIsac_Time2Spec
00000000000d6068 T WebRtcIsac_ToLogDomainRemoveMean
00000000000dcac0 T WebRtcIsac_TranscodeLPCCoef
00000000000cec8c T WebRtcIsac_UpdateBandwidthEstimator
00000000000e4818 T WebRtcIsac_UpdateBwEstimate
00000000000d08c4 T WebRtcIsac_UpdateRateModel
00000000000e6608 T WebRtcIsac_UpdateUplinkBw
00000000000cf924 T WebRtcIsac_UpdateUplinkBwImpl
00000000000cfb4c T WebRtcIsac_UpdateUplinkJitter
00000000000e062c T WebRtcIsac_WeightingFilter
00000000000e040c T WebRtcIsac_ZeroPoleFilter
00000000002054e8 R WebRtcIsac_kCompositeApFactorsFloat
000000000020c37e R WebRtcIsac_kCos
0000000000205460 R WebRtcIsac_kFrameLengthCdf
0000000000286058 D WebRtcIsac_kFrameLengthCdf_ptr
0000000000205468 R WebRtcIsac_kFrameLengthInitIndex
0000000000206748 R WebRtcIsac_kIintraVecDecorrMatUb16
000000000020ad3e R WebRtcIsac_kIndexLowerLimitGain
000000000020ad4a R WebRtcIsac_kIndexMultsGain
000000000020ad44 R WebRtcIsac_kIndexUpperLimitGain
0000000000206500 R WebRtcIsac_kInterVecDecorrMatUb12
00000000002067c8 R WebRtcIsac_kInterVecDecorrMatUb16
0000000000206480 R WebRtcIsac_kIntraVecDecorrMatUb12
0000000000209740 R WebRtcIsac_kKltT1Gain
0000000000209760 R WebRtcIsac_kKltT1Shape
000000000020a180 R WebRtcIsac_kKltT2Gain
000000000020a2a0 R WebRtcIsac_kKltT2Shape
0000000000206028 R WebRtcIsac_kLeftRecPointLpcGain
0000000000205500 R WebRtcIsac_kLowerApFactorsFloat
0000000000286070 D WebRtcIsac_kLpcGainCdfMat
0000000000206070 R WebRtcIsac_kLpcGainCdfVec0
0000000000206094 R WebRtcIsac_kLpcGainCdfVec1
00000000002060be R WebRtcIsac_kLpcGainCdfVec2
00000000002060f2 R WebRtcIsac_kLpcGainCdfVec3
000000000020614e R WebRtcIsac_kLpcGainCdfVec4
00000000002061ea R WebRtcIsac_kLpcGainCdfVec5
0000000000206340 R WebRtcIsac_kLpcGainDecorrMat
0000000000206064 R WebRtcIsac_kLpcGainEntropySearch
000000000020a3c0 R WebRtcIsac_kLpcMeansGain
000000000020a420 R WebRtcIsac_kLpcMeansShape
00000000002860a0 D WebRtcIsac_kLpcShapeCdfMatUb12
00000000002860e0 D WebRtcIsac_kLpcShapeCdfMatUb16
0000000000206848 R WebRtcIsac_kLpcShapeCdfVec01Ub16
00000000002069c2 R WebRtcIsac_kLpcShapeCdfVec01Ub160
00000000002069ec R WebRtcIsac_kLpcShapeCdfVec01Ub161
0000000000206a24 R WebRtcIsac_kLpcShapeCdfVec01Ub162
0000000000206a92 R WebRtcIsac_kLpcShapeCdfVec01Ub163
0000000000206ac6 R WebRtcIsac_kLpcShapeCdfVec01Ub164
0000000000206afe R WebRtcIsac_kLpcShapeCdfVec01Ub165
0000000000206b42 R WebRtcIsac_kLpcShapeCdfVec01Ub166
0000000000206588 R WebRtcIsac_kLpcShapeCdfVec0Ub12
00000000002065a4 R WebRtcIsac_kLpcShapeCdfVec1Ub12
0000000000206864 R WebRtcIsac_kLpcShapeCdfVec1Ub16
00000000002065c4 R WebRtcIsac_kLpcShapeCdfVec2Ub12
0000000000206884 R WebRtcIsac_kLpcShapeCdfVec2Ub16
00000000002065ec R WebRtcIsac_kLpcShapeCdfVec3Ub12
00000000002068a8 R WebRtcIsac_kLpcShapeCdfVec3Ub16
0000000000206624 R WebRtcIsac_kLpcShapeCdfVec4Ub12
00000000002068e4 R WebRtcIsac_kLpcShapeCdfVec4Ub16
000000000020664c R WebRtcIsac_kLpcShapeCdfVec5Ub12
0000000000206904 R WebRtcIsac_kLpcShapeCdfVec5Ub16
000000000020667e R WebRtcIsac_kLpcShapeCdfVec6Ub12
0000000000206926 R WebRtcIsac_kLpcShapeCdfVec6Ub16
00000000002066c0 R WebRtcIsac_kLpcShapeCdfVec7Ub12
0000000000206950 R WebRtcIsac_kLpcShapeCdfVec7Ub16
0000000000206998 R WebRtcIsac_kLpcShapeCdfVec8Ub16
0000000000206578 R WebRtcIsac_kLpcShapeEntropySearchUb12
0000000000206c70 R WebRtcIsac_kLpcShapeEntropySearchUb16
0000000000206528 R WebRtcIsac_kLpcShapeLeftRecPointUb12
0000000000206bd0 R WebRtcIsac_kLpcShapeLeftRecPointUb16
0000000000206568 R WebRtcIsac_kLpcShapeNumRecPointUb12
0000000000206c50 R WebRtcIsac_kLpcShapeNumRecPointUb16
0000000000206520 R WebRtcIsac_kLpcShapeQStepSizeUb12
0000000000206c90 R WebRtcIsac_kLpcShapeQStepSizeUb16
0000000000206460 R WebRtcIsac_kMeanLarUb12
0000000000206728 R WebRtcIsac_kMeanLarUb16
0000000000206020 R WebRtcIsac_kMeanLpcGain
0000000000206058 R WebRtcIsac_kNumQCellLpcGain
000000000020c29c R WebRtcIsac_kQArBoundaryLevels
000000000020c188 R WebRtcIsac_kQArRc1Cdf
000000000020c218 R WebRtcIsac_kQArRc1Levels
000000000020c1a0 R WebRtcIsac_kQArRc2Cdf
000000000020c22e R WebRtcIsac_kQArRc2Levels
000000000020c1b8 R WebRtcIsac_kQArRc3Cdf
000000000020c244 R WebRtcIsac_kQArRc3Levels
000000000020c1d0 R WebRtcIsac_kQArRc4Cdf
000000000020c25a R WebRtcIsac_kQArRc4Levels
000000000020c1e8 R WebRtcIsac_kQArRc5Cdf
000000000020c270 R WebRtcIsac_kQArRc5Levels
000000000020c200 R WebRtcIsac_kQArRc6Cdf
000000000020c286 R WebRtcIsac_kQArRc6Levels
0000000000286588 D WebRtcIsac_kQArRcCdfPtr
000000000020c2b4 R WebRtcIsac_kQArRcInitIndex
00000000002865b8 D WebRtcIsac_kQArRcLevelsPtr
000000000020ad4e R WebRtcIsac_kQCdfTableSizeGain
000000000020c330 R WebRtcIsac_kQGain2BoundaryLevels
000000000020c2e8 R WebRtcIsac_kQGain2Levels
000000000020c2c0 R WebRtcIsac_kQGainCdf
00000000002865e8 D WebRtcIsac_kQGainCdf_ptr
000000000020c37c R WebRtcIsac_kQGainInitIndex
000000000020b310 R WebRtcIsac_kQIndexLowerLimitLagLo
000000000020b68c R WebRtcIsac_kQIndexLowerLimitLagMid
000000000020b318 R WebRtcIsac_kQIndexUpperLimitLagLo
000000000020b694 R WebRtcIsac_kQIndexUpperLimitLagMid
000000000020bd4a R WebRtcIsac_kQInitIndexLagHi
000000000020b320 R WebRtcIsac_kQInitIndexLagLo
000000000020b69c R WebRtcIsac_kQInitIndexLagMid
0000000000208eb8 R WebRtcIsac_kQKltCdfGain
0000000000286168 D WebRtcIsac_kQKltCdfPtrGain
00000000002861c8 D WebRtcIsac_kQKltCdfPtrShape
00000000002091e0 R WebRtcIsac_kQKltCdfShape
0000000000206f72 R WebRtcIsac_kQKltInitIndexGain
0000000000206f8a R WebRtcIsac_kQKltInitIndexShape
0000000000207068 R WebRtcIsac_kQKltLevelsGain
0000000000207ca8 R WebRtcIsac_kQKltLevelsShape
0000000000206d92 R WebRtcIsac_kQKltMaxIndGain
0000000000206daa R WebRtcIsac_kQKltMaxIndShape
0000000000206c98 R WebRtcIsac_kQKltModelCdf
0000000000286160 D WebRtcIsac_kQKltModelCdfPtr
0000000000206ca0 R WebRtcIsac_kQKltModelInitIndex
0000000000206e82 R WebRtcIsac_kQKltOffsetGain
0000000000206e9a R WebRtcIsac_kQKltOffsetShape
0000000000206ca2 R WebRtcIsac_kQKltQuantMinGain
0000000000206cba R WebRtcIsac_kQKltQuantMinShape
000000000020ad50 R WebRtcIsac_kQMeanGain1Q12
000000000020ae70 R WebRtcIsac_kQMeanGain2Q12
000000000020af90 R WebRtcIsac_kQMeanGain3Q12
000000000020b0b0 R WebRtcIsac_kQMeanGain4Q12
000000000020bd50 R WebRtcIsac_kQMeanLag2Hi
000000000020b328 R WebRtcIsac_kQMeanLag2Lo
000000000020b6a8 R WebRtcIsac_kQMeanLag2Mid
000000000020bf68 R WebRtcIsac_kQMeanLag3Hi
000000000020b3c0 R WebRtcIsac_kQMeanLag3Lo
000000000020b7c0 R WebRtcIsac_kQMeanLag3Mid
000000000020bf70 R WebRtcIsac_kQMeanLag4Hi
000000000020b3c8 R WebRtcIsac_kQMeanLag4Lo
000000000020b7c8 R WebRtcIsac_kQMeanLag4Mid
000000000020ab40 R WebRtcIsac_kQPitchGainCdf
000000000020b868 R WebRtcIsac_kQPitchLagCdf1Hi
000000000020b1d0 R WebRtcIsac_kQPitchLagCdf1Lo
000000000020b418 R WebRtcIsac_kQPitchLagCdf1Mid
000000000020bc66 R WebRtcIsac_kQPitchLagCdf2Hi
000000000020b2ce R WebRtcIsac_kQPitchLagCdf2Lo
000000000020b616 R WebRtcIsac_kQPitchLagCdf2Mid
000000000020bcee R WebRtcIsac_kQPitchLagCdf3Hi
000000000020b2f6 R WebRtcIsac_kQPitchLagCdf3Lo
000000000020b65e R WebRtcIsac_kQPitchLagCdf3Mid
000000000020bcf2 R WebRtcIsac_kQPitchLagCdf4Hi
000000000020b2fa R WebRtcIsac_kQPitchLagCdf4Lo
000000000020b662 R WebRtcIsac_kQPitchLagCdf4Mid
0000000000286568 D WebRtcIsac_kQPitchLagCdfPtrHi
0000000000286528 D WebRtcIsac_kQPitchLagCdfPtrLo
0000000000286548 D WebRtcIsac_kQPitchLagCdfPtrMid
000000000020bd38 R WebRtcIsac_kQPitchLagCdfSizeHi
000000000020b30e R WebRtcIsac_kQPitchLagCdfSizeLo
000000000020b68a R WebRtcIsac_kQPitchLagCdfSizeMid
000000000020c080 R WebRtcIsac_kQPitchLagStepsizeHi
000000000020b410 R WebRtcIsac_kQPitchLagStepsizeLo
000000000020b860 R WebRtcIsac_kQPitchLagStepsizeMid
0000000000206018 R WebRtcIsac_kQSizeLpcGain
000000000020bd3a R WebRtcIsac_kQindexLowerLimitLagHi
000000000020bd42 R WebRtcIsac_kQindexUpperLimitLagHi
000000000020c088 R WebRtcIsac_kTransform
0000000000205508 R WebRtcIsac_kTransform1Float
0000000000205528 R WebRtcIsac_kTransform2Float
000000000020c108 R WebRtcIsac_kTransformTranspose
00000000002054f8 R WebRtcIsac_kUpperApFactorsFloat
00000000000e7044 T WebRtcIsac_version
0000000000161568 T WebRtcNs_Analyze
000000000016273c T WebRtcNs_AnalyzeCore
00000000001614bc T WebRtcNs_Create
00000000001614ec T WebRtcNs_Free
0000000000161510 T WebRtcNs_Init
000000000016180c T WebRtcNs_InitCore
0000000000161594 T WebRtcNs_Process
0000000000164460 T WebRtcNs_ProcessCore
0000000000161630 T WebRtcNs_noise_estimate
0000000000161688 T WebRtcNs_num_freq
00000000001615d0 T WebRtcNs_prior_speech_probability
000000000016153c T WebRtcNs_set_policy
0000000000162608 T WebRtcNs_set_policy_core
0000000000287fd0 B WebRtcNsx_AnalysisUpdate
000000000016f528 T WebRtcNsx_AnalysisUpdateNeon
00000000001666c8 T WebRtcNsx_CalcParametricNoiseEstimate
0000000000168d0c T WebRtcNsx_ComputeSpectralDifference
00000000001688d0 T WebRtcNsx_ComputeSpectralFlatness
0000000000161690 T WebRtcNsx_Create
0000000000169354 T WebRtcNsx_DataAnalysis
000000000016a03c T WebRtcNsx_DataSynthesis
0000000000287fd8 B WebRtcNsx_Denormalize
0000000000167ff4 T WebRtcNsx_FeatureParameterExtraction
00000000001616e8 T WebRtcNsx_Free
0000000000161718 T WebRtcNsx_Init
00000000001668d8 T WebRtcNsx_InitCore
0000000000287fe0 B WebRtcNsx_NoiseEstimation
000000000016d3fc T WebRtcNsx_NoiseEstimationNeon
0000000000287fe8 B WebRtcNsx_NormalizeRealBuffer
0000000000287ff0 B WebRtcNsx_PrepareSpectrum
000000000016e7b4 T WebRtcNsx_PrepareSpectrumNeon
0000000000161770 T WebRtcNsx_Process
000000000016a498 T WebRtcNsx_ProcessCore
000000000016c534 T WebRtcNsx_SpeechNoiseProb
0000000000287ff8 B WebRtcNsx_SynthesisUpdate
000000000016edbc T WebRtcNsx_SynthesisUpdateNeon
000000000021827c R WebRtcNsx_kCounterDiv
000000000021826a R WebRtcNsx_kLogTable
000000000021840e R WebRtcNsx_kLogTableFrac
00000000001617ac T WebRtcNsx_noise_estimate
0000000000161804 T WebRtcNsx_num_freq
0000000000161744 T WebRtcNsx_set_policy
0000000000166ecc T WebRtcNsx_set_policy_core
000000000010f348 T WebRtcSpl_32khzTo22khzIntToInt
000000000010d63c T WebRtcSpl_AddAffineVectorToVector
000000000010d598 T WebRtcSpl_AddVectorsAndShift
000000000010d6dc T WebRtcSpl_AffineTransformVector
0000000000114738 T WebRtcSpl_AllPassQMF
0000000000114b60 T WebRtcSpl_AnalysisQMF
000000000010aa30 T WebRtcSpl_AutoCorrToReflCoef
000000000010affc T WebRtcSpl_AutoCorrelation
000000000010c00c T WebRtcSpl_ComplexBitReverse
000000000010b540 T WebRtcSpl_ComplexFFT
000000000010ba60 T WebRtcSpl_ComplexIFFT
000000000010c3c8 T WebRtcSpl_CopyFromEndW16
000000000010e188 T WebRtcSpl_CreateRealFFT
0000000000287f08 B WebRtcSpl_CrossCorrelation
0000000000115754 T WebRtcSpl_CrossCorrelationC
000000000011656c T WebRtcSpl_CrossCorrelationNeon
000000000010c5a0 T WebRtcSpl_DivResultInQ31
000000000010c4ec T WebRtcSpl_DivU32U16
000000000010c6c8 T WebRtcSpl_DivW32HiLow
000000000010c528 T WebRtcSpl_DivW32W16
000000000010c564 T WebRtcSpl_DivW32W16ResW16
000000000010c83c T WebRtcSpl_DotProductWithScale
00000000001111bc T WebRtcSpl_DownBy2IntToShort
0000000000111658 T WebRtcSpl_DownBy2ShortToInt
0000000000110a00 T WebRtcSpl_DownsampleBy2
0000000000287ef8 B WebRtcSpl_DownsampleFast
000000000011584c T WebRtcSpl_DownsampleFastC
00000000001169b0 T WebRtcSpl_DownsampleFastNeon
